標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號
松山捷運站～公寓３樓,台北市信義區虎林街,40.4年,公寓/辦公,40.73,37.62,3房2廳2衛1室,3樓/5樓,無車位,2980,9999CD
台北ＯＮＥ稀有邊間兩房,台北市萬華區成都路,8.5年,大樓,30.91,17.84,2房2廳1衛,10樓/22樓,無車位,2958,9985MD
華固松疆磅礡大戶,台北市中山區松江路,11.2年,大樓,127.08,62.49,4房2廳2.5衛1室,2樓/21樓,兩個以上車位,14000,7712KL
久康邊間溫馨稀有二樓,台北市文山區久康街,51.0年,公寓,26.08,26.07,2房2廳2衛1室,2樓/4樓,無車位,1498,9199SU
士林捷運－公寓３樓,台北市士林區大北路,53.7年,公寓,31.1,31.1,3房2廳1衛,3樓/4樓,無車位,1850,49508R
敦南１０１景觀邊間７樓國民大廈,台北市大安區敦化南路二段,46.4年,大樓/辦公,50.77,44.83,1房1廳2衛2室,7樓/17樓,無車位,5400,3142NS
中正國中市立附小近捷運,台北市中正區林森南路,24.9年,套房,17.87,8.55,1房1廳1衛,6樓/12樓,塔式車位,2680,7115TP
低總價挑高一樓,台北市文山區試院路,21.6年,華廈,17.56,10.16,1廳1衛,1樓/5樓,無車位,899,4287JL
花都●南港站前兩房車位花都中國,台北市南港區興南街,31.6年,大樓,28.45,19.14,2房2廳1.5衛,4樓/11樓,坡道機械車位,2558,9565KU
專任佳園溫州電梯美邸佳園大廈,台北市大安區溫州街,39.1年,華廈,43.3,37.94,3房2廳2衛,2樓/7樓,無車位,4330,7467NV
內湖捷運人流旺金新店面,台北市內湖區內湖路二段,1.1年,店面,41.3,15.75,1廳1衛,1樓/15樓,坡道平面車位,5688,0114HK
☆雙敦宅邸★邊間三房,台北市松山區八德路三段,60.1年,公寓,23.75,23.76,3房2廳2衛,3樓/4樓,無車位,2488,7724NL
後港街近捷運大空間,台北市士林區後港街,43.8年,辦公,33.14,33.14,4房2廳2衛,4樓/5樓,無車位,1950,11770T
忠孝敦化捷運高樓美妝四房,台北市大安區忠孝東路四段,46.3年,華廈,43.6,37.1,6房4廳4衛1室(含加蓋2房2廳2衛),7樓/7樓,無車位,5588,38547X
【台北Ｏｎｅ】輕奢美宅,台北市萬華區成都路,8.5年,大樓,18.98,12.29,1房2廳1衛,13樓/22樓,無車位,1780,47965Y
麗山國中江南街靜巷靓一樓敦煌,台北市內湖區江南街,32.7年,華廈,17.73,13.89,2房2廳1衛(含加蓋1房),1樓/5樓,無車位,1988,3834QU
捷運科技大樓旁電梯頂樓,台北市大安區和平東路二段,43.6年,華廈,53.64,38.51,2房2廳1.5衛1室(含加蓋1室),7樓/7樓,無車位,5368,1164RM
近內科稀有低總價黃金店面西湖寧境,台北市內湖區內湖路一段,31.6年,店面,48.08,25.92,2廳1衛(含加蓋1廳),1樓/12樓,無車位,4880,2477ZD
七段面公園雅致一樓,台北市士林區中山北路七段,38.0年,華廈,61.94,52.44,2房3廳3衛1室(含加蓋1衛1室),1樓/7樓,無車位,3880,9903TZ
山嵐映月《規劃自己的家》山嵐映月,台北市文山區木新路三段,10.9年,大樓,127.12,55.87,2廳2衛,4樓/14樓,兩個以上車位,8580,4331TX
永春捷運置產收租美屋,台北市信義區虎林街,55.8年,公寓,19.54,19.54,5房3廳2衛(含加蓋2房1廳1衛),4樓/4樓,無車位,2180,8246HD
歡迎賞屋後山碑捷運讚２樓,台北市南港區玉成街,41.0年,公寓/辦公,36.19,32.87,3房2廳2衛,2樓/5樓,無車位,2928,2926QF
士北科生活圈三房美寓,台北市士林區葫蘆街,51.9年,公寓,30.77,30.78,3房2廳1衛,4樓/4樓,無車位,1488,6437MF
未來廈安站方正美寓,台北市萬華區中華路二段,44.2年,公寓,23.4,23.4,2房2廳1衛,3樓/5樓,無車位,1560,7026JL
美妝河景寓,台北市士林區通河東街一段,47.9年,公寓,21.64,21.64,2房2廳1衛,4樓/4樓,無車位,1550,3448TX
帝寶後巷低總價地下室,台北市大安區建國南路一段,47.4年,辦公/倉庫,24.77,0,1廳1衛,-1樓/6樓,無車位,940,3913VD
【ＶＲ】敦南好境優質三房南方庭園,台北市文山區辛亥路四段,39.3年,公寓,32.46,31.59,3房2廳2衛,2樓/5樓,無車位,1888,5507LD
【ＶＲ】商圈捷運綠地雅寓,台北市文山區辛亥路四段,48.6年,公寓,24.77,24.77,2房2廳1衛,4樓/4樓,無車位,1400,2550GC
東樺園黃金三樓東樺園,台北市南港區研究院路二段,40.2年,公寓,31.26,28.39,3房2廳1.5衛,3樓/5樓,無車位,1800,5773HK
大安自在靜巷豪邸敦南自在,台北市大安區大安路二段,13.9年,華廈,70.18,43.02,3房2廳2衛,4樓/7樓,一樓平面車位,10500,52867Z
東區熱點｜寶格傳家金店面住安大廈,台北市大安區忠孝東路四段,47.8年,店面,17.26,6.88,1廳1衛,1樓/12樓,無車位,11950,72048Y
【晨曦映寓】兩房管理雅築,台北市北投區泉源路,47.3年,公寓,22.22,22.23,2房2廳2衛,5樓/5樓,無車位,838,31757L
新碩文曲後棟１０樓三房,台北市大同區重慶北路二段,0.4年,大樓,36,19.45,3房2廳1.5衛,10樓/15樓,其他,3830,1424ND
士紙開發案潛力三樓,台北市士林區中正路,53.2年,公寓,25.54,25.54,2房2廳1.5衛,3樓/4樓,無車位,2180,5016QZ
通東三樓必看好案,台北市士林區通河東街一段,45.8年,公寓,37.83,36.88,3房2廳2衛,3樓/5樓,無車位,2395,3386BX
莎士比亞高樓美景坡平車位莎士比亞,台北市大安區辛亥路二段,36.6年,大樓,58.21,35.03,3房2廳2衛,12樓/25樓,坡道平面車位,4988,3970GF
美美行政頂加大空間,台北市內湖區民權東路六段,44.9年,公寓,37.42,31.49,4房3廳3衛(含加蓋1房1廳1衛),5樓/5樓,無車位,2180,8288XF
科技捷運採光大空間綠意,台北市大安區和平東路二段,38.6年,華廈,44.39,38.67,3房2廳2衛,2樓/6樓,無車位,4880,1750JG
公園大院－森活館高樓,台北市北投區中和街,1.2年,大樓,35.35,22.33,3房2廳2衛,12樓/14樓,塔式車位,3268,9451BQ
大使特區雙併美四房,台北市士林區中山北路六段,41.3年,華廈,40.71,38.86,4房2廳2衛,5樓/7樓,無車位,3218,7713WC
近內湖站電梯精緻四房大戶,台北市內湖區內湖路二段,35.7年,大樓,43.91,41.96,4房2廳2衛,4樓/11樓,無車位,3988,5097AP
華固大安學府新屋三房,台北市大安區復興南路二段,0.7年,大樓,56.13,29.88,3房2廳2衛,10樓/23樓,坡道平面車位,8800,4004ZC
師大★景觀美寓,台北市大安區羅斯福路二段,46.2年,公寓,40.41,40.41,5房3廳3衛(含加蓋2房1廳1衛),5樓/5樓,無車位,4260,4890TC
榮耀西門一房美屋,台北市萬華區漢中街,3.5年,大樓,22.3,14.85,1房1廳1衛,5樓/15樓,無車位,2688,4513RQ
天母磺溪歐式花園庭院一樓,台北市士林區天母北路,52.0年,公寓,35.74,35.74,3房2廳2衛1室,1樓/4樓,無車位,4000,9189RD
廣慈福德靜巷一樓低總美寓,台北市南港區福德街,48.4年,公寓,13.92,12.41,2房2廳2衛1室(含加蓋1房1廳2衛1室),1樓/4樓,無車位,1256,8759PL
ＪＯＪＯ朝南精品JOJO,台北市中山區敬業二路,17.8年,辦公,12.74,7.29,1房1廳1衛(含加蓋1房),6樓/10樓,無車位,1390,8158WX
國揚安和林蔭★附車位國揚安和,台北市大安區安和路一段,46.4年,大樓,86.83,64.43,6房3廳2.5衛3室,4樓/12樓,坡道平面車位,8988,6063LH
新生金華修德園電梯車位修德園大廈,台北市大安區和平東路一段,47.2年,大樓,58.89,36.91,3房2廳2衛,9樓/12樓,兩個以上車位,5200,5946FH
優質主推博愛學區國泰公寓,台北市信義區虎林街,56.0年,公寓,25.89,25.89,3房2廳1衛,4樓/4樓,無車位,2288,7714WF
行天宮捷運大空間,台北市中山區民生東路二段,50.0年,公寓,26.72,26.72,4房3廳3衛(含加蓋1房1廳1衛),4樓/4樓,無車位,2288,8127XJ
松漢雍容美式庭園１樓松漢雍容,台北市南港區重陽路,11.5年,華廈,77.29,40.31,3房2廳3衛1室,1樓/9樓,兩個以上車位,8500,9190WD
大直⭐公園名邸⭐珍稀釋出達麗花園,台北市中山區明水路,21.4年,華廈,98.34,51.57,4房2廳3衛1室,2樓/9樓,兩個以上車位,11588,5015AL
大直街靜巷公寓,台北市中山區大直街,48.8年,公寓,36.09,36.09,6房3廳3衛(含加蓋3房1廳1衛),4樓/4樓,無車位,2788,6394LB
來看！！捷運松江３房美宅,台北市中山區長安東路二段,47.4年,華廈,36.38,36.38,3房2廳2衛,6樓/7樓,無車位,2880,4973KR
大土持雙併公寓黃金三樓,台北市信義區嘉興街,52.8年,公寓,36.45,36.45,3房2廳2衛,3樓/4樓,無車位,2950,6460YW
捷運大直公寓頂加近校區,台北市中山區北安路,38.9年,公寓,41.32,34.85,8房1廳4衛(含加蓋3房1廳2衛),5樓/5樓,無車位,2750,4251QP
《請進天母》忠誠路名邸,台北市士林區忠誠路一段,41.8年,華廈,70.31,53.21,4房2廳2衛,6樓/7樓,坡道平面車位,5900,5607VQ
麟光捷運●雙門面住店皆可,台北市信義區和平東路三段,42.8年,店面,42.23,37,2房3廳1衛,1樓/5樓,無車位,3500,7469YC
✿正馬路公寓２樓✿,台北市士林區永平街,45.2年,公寓,25.14,25.15,2房2廳1衛,2樓/5樓,無車位,1488,7016LK
穩定收租挑高金店面自由仕,台北市松山區南京東路五段,19.7年,店面,17.28,7.2,1廳1室(含加蓋1室),1樓/11樓,無車位,1898,0560WG
忠泰面樹蔭有車位,台北市中山區德惠街,1.8年,大樓,28.97,14.21,1房2廳1衛1室,4樓/13樓,塔式車位,2880,34664C
大面寬邊間黃金店面出售,台北市內湖區內湖路三段,47.8年,店面,36.44,21.31,1廳1衛1室,1樓/4樓,無車位,5999,83986W
仁愛路三角窗大戶,台北市大安區仁愛路四段,52.8年,店面/辦公,87.65,87.65,1廳2衛6室,2樓/6樓,無車位,12800,82890E
黃金二樓●大安方正三房,台北市大安區安居街,44.8年,公寓,31.56,31.56,3房2廳2衛,2樓/5樓,無車位,2398,5384NY
【ＶＲ】敦南好境都會小宅敦南100,台北市文山區萬美街二段,30.1年,大樓,14.63,10.4,1房1廳1衛,11樓/12樓,無車位,990,5540MP
近北醫電梯華廈二房,台北市信義區吳興街,34.4年,華廈,24.79,21.57,2房2廳1.5衛1室,3樓/6樓,無車位,1988,0283GJ
近捷運方正大住辦,台北市大同區甘谷街,44.8年,華廈/辦公,53.82,53.82,4房2廳1衛,4樓/7樓,無車位,3766,8876JR
立農街方正精品一樓,台北市北投區立農街一段,53.0年,公寓,25.18,25.18,3房2廳1衛,1樓/4樓,無車位,2888,5896RW
古亭方正二樓美寓,台北市中正區同安街,59.3年,其它,21.81,21.81,3房2廳1衛,2樓/3樓,無車位,2168,2274PB
【國語實小學區】三房,台北市中正區中華路二段,44.9年,公寓,19.42,19.42,3房1廳1衛,3樓/5樓,無車位,1550,2094HH
店長推薦介壽國中學區好棒,台北市松山區光復北路,52.4年,公寓,32.86,32.87,1房2廳1衛,4樓/4樓,無車位,2888,8233ZK
世紀之光後棟附雙坡平車位,台北市內湖區瑞湖街,17.6年,辦公,140.25,68.83,9廳,4樓/5樓,兩個以上車位,5688,9772YP
亮麗中山香榭三房車位,台北市中山區中山北路二段,25.2年,華廈,38.19,24.61,3房2廳1衛,6樓/9樓,升降機械車位,4298,8912FC
全陽豐會ＳＲＣ制震宅邸,台北市士林區中山北路五段,1.1年,大樓,40.06,21.13,3房2廳2衛,3樓/18樓,坡道機械車位,4380,6046PU
林森北路投資置產金雞母華德大樓,台北市中山區林森北路,48.6年,大樓,42.19,35.14,4房1廳3衛,9樓/11樓,無車位,3300,9583GB
新裝潢附中住辦好停車中南大廈,台北市大安區復興南路一段,46.8年,大樓/辦公,45.63,40.72,1房1廳2衛,9樓/14樓,無車位,5200,2262HD
三面採光舊莊二樓美寓,台北市南港區舊莊街一段,36.4年,公寓,34.24,28.89,4房2廳2衛,2樓/5樓,無車位,1850,5967PX
忠誠路★景觀３房電梯,台北市士林區忠誠路一段,33.4年,華廈,48.88,41.64,3房2廳2衛1室,5樓/9樓,無車位,4750,4670VM
中山北路三角窗大店面,台北市中山區中山北路二段,37.6年,店面,76.93,46.55,1廳1衛2室,B1-1樓/5樓,無車位,9900,6359KT
信義區低總面寬一樓店辦,台北市信義區信義路五段,44.0年,店面,36.62,16.13,2廳1衛1室(含加蓋1衛1室),1樓/7樓,無車位,2000,8971MU
捷運內科三房低樓美寓,台北市內湖區內湖路一段,47.7年,公寓,28.12,28.12,3房2廳1衛,2樓/4樓,無車位,1900,7732VX
新生金華黃金３樓美寓,台北市大安區永康街,53.9年,公寓,34.93,34.94,4房2廳2衛,3樓/4樓,無車位,4288,2156ZD
推薦★邊間方正光境小宅大福將,台北市大同區寧夏路,29.0年,大樓,13.96,8.79,1房1廳1衛,7樓/14樓,無車位,1298,3258BV
晴光３房・內湖捷運景觀宅,台北市內湖區成功路四段,30.7年,大樓,29.51,19.58,3房2廳1衛,12樓/12樓,無車位,2680,9187YM
文化學區三房一樓,台北市北投區中和街,48.2年,公寓,20.2,18.57,3房2廳1衛1室,1樓/4樓,無車位,1450,2077TF
仁愛光復國館三房華廈,台北市大安區光復南路,49.0年,華廈,32.48,28.32,3房2廳2衛,7樓/7樓,無車位,3500,2054JX
麗山國中靜巷獨棟傳家三樓,台北市內湖區麗山街,42.7年,公寓,36.75,29.02,3房2廳1衛,3樓/5樓,無車位,2688,7260RZ
景華公園旁大空間景觀華廈,台北市文山區景興路,43.4年,華廈,31.4,27.92,2房2廳1衛(含加蓋1房),7樓/7樓,無車位,2298,7357XW
國際名紳國際名紳,台北市信義區松德路,31.0年,大樓,51.97,33.54,2房2廳2衛,2樓/24樓,坡道平面車位,5188,8403UL
嚴選南門植園高樓電梯３房延平花園大廈,台北市中正區中華路二段,51.1年,華廈,36.7,31.27,3房2廳2衛,7樓/7樓,無車位,3350,4157FH
★景美捷運成家四房豪邸★台大御花園II,台北市文山區萬慶街,33.0年,大樓,69.36,53.49,4房2廳2衛,14樓/20樓,坡道平面車位,4998,5330LG
稀有·大直新貴美景三房大直新貴,台北市內湖區文湖街,22.4年,華廈,39.6,25.25,3房2廳2衛,6樓/8樓,升降機械車位,2880,5606VD
詠大直．悠然邸詠大直,台北市內湖區文湖街,10.0年,大樓,110.04,58.17,3房2廳2衛1室,3樓/11樓,兩個以上車位,6250,6117YL
＊北士科＊獨棟獨戶好美,台北市士林區前港街,40.6年,公寓,34.47,32.9,3房2廳2衛,5樓/5樓,無車位,2088,1071BG
內湖捷運●稀有邊間美宅翠湖大樓,台北市內湖區成功路四段,42.0年,大樓,47.13,43.69,3房2廳2衛,5樓/14樓,無車位,3988,1005MR
【誠售】公園旁綠意攬翠攬翠,台北市內湖區民權東路六段,16.4年,華廈,89.92,55.35,4房2廳2衛,1樓/5樓,兩個以上車位,8588,4733YG
低總價釋出興南街３樓公寓,台北市南港區興南街,46.5年,公寓,27.81,27.81,3房2廳1衛,3樓/4樓,無車位,2188,4810HV
帷幕純辦高樓美景,台北市松山區基隆路一段,30.7年,辦公/大樓,41.84,30.18,3房1廳,12樓/18樓,無車位,2650,3023QQ
邊間國泰格局大空間,台北市大安區泰順街,45.5年,公寓,43.84,43.83,6房1廳2衛,5樓/5樓,無車位,3288,56515R
店長推薦仁愛御品好景觀仁愛御品,台北市大安區忠孝東路四段,15.7年,大樓,84.7,43.45,2房2廳2衛,12樓/14樓,兩個以上車位,9498,89002F
★高樓．美景．計劃區名邸冠德遠見,台北市信義區信義路五段,17.8年,大樓,88.62,51.72,3房2廳2衛,22樓/27樓,坡道平面車位,13280,85730F
［專任］近板南線採光公寓,台北市萬華區西園路一段,39.7年,公寓,30.87,25.87,3房2廳1衛,4樓/5樓,無車位,1850,3314UT
近捷運．興隆公園美妝三房,台北市文山區興隆路二段,46.0年,公寓,29.78,29.78,3房2廳1衛,3樓/5樓,無車位,1915,2268XZ
松江路低總價,台北市中山區松江路,29.2年,華廈,19.42,7.08,1房1廳1衛,2樓/6樓,升降機械車位,988,3260TV
青田福邸邊間電梯華廈,台北市大安區和平東路一段,41.6年,大樓,36.09,30.67,3房2廳2衛,6樓/12樓,無車位,3998,8337NP
華固溫歌華花園溫歌華花園,台北市南港區向陽路,19.2年,大樓,79.37,45.91,3房2廳2衛1室,8樓/15樓,坡道平面車位,6980,9194KR
大直儒林園１樓都更洽談中儒林園,台北市中山區大直街,37.3年,公寓,49.24,38.62,8房8衛(含加蓋2房2衛),1樓/5樓,無車位,6680,78207W
中山北路穩租日式金店,台北市中山區中山北路一段,46.4年,店面/辦公,45.85,42.01,1廳2衛3室,1樓/5樓,無車位,4380,31427P
【稀有】敦南國際高樓角間國際貿易大樓,台北市大安區敦化南路一段,41.0年,大樓,66.42,45.02,1廳6室,13樓/14樓,無車位,6908,9288QN
湯泉歸宿．歲月靜好御品行館,台北市北投區光明路,8.2年,大樓,20.69,13.04,1房1廳1衛,9樓/24樓,無車位,1898,7450QX
靜修新品精緻套房,台北市大同區歸綏街,29.4年,大樓,10.35,7.8,1房1廳1衛,7樓/13樓,無車位,980,6465YW
內科日內瓦面寬金店,台北市內湖區瑞光路,16.9年,店面,83.85,47.12,1廳3室,1樓/6樓,坡道平面車位,6245,9549HW
望１０１凱旋門星空銀河凱旋門,台北市大安區安和路二段,35.7年,大樓,58.55,46.42,2房2廳2衛2室,7樓/17樓,無車位,6888,6811FQ
僑泰財經純辦景觀僑泰財經首席,台北市信義區松德路,29.8年,辦公/大樓,54.12,26.93,1廳1室,6樓/21樓,坡道平面車位,4980,6927RK
遠雄首府９樓遠雄首府,台北市中山區林森北路,14.2年,大樓,38.99,16.35,2房2廳1衛,9樓/13樓,坡道平面車位,3380,5599KR
宏普再興捷運中庭四房車位早安再興,台北市文山區興隆路四段,30.1年,大樓,55.61,31.87,4房2廳2衛1室,4樓/13樓,坡道平面車位,3380,9602VU
敦南藏家三房三衛高層豪邸大敦藏,台北市大安區敦南街,22.8年,大樓,126.46,71.9,3房2廳3衛,11樓/16樓,兩個以上車位,15000,2494LB
近雙子星．電梯四房有管理塔城龍門,台北市大同區鄭州路,36.3年,大樓,42.25,33.22,4房2廳2衛,8樓/17樓,無車位,3788,6246SH
店長推薦●藏峰樹海美豪邸藏峰,台北市士林區承德路四段,23.1年,大樓,91.2,54.9,5房2廳2衛(含加蓋1房),3樓/14樓,坡道平面車位,7688,9573YM
誠售●仁愛高樓三房車位靜園,台北市中正區仁愛路二段,45.0年,大樓/辦公,74.28,49.47,3房2廳2衛1室,10樓/12樓,兩個以上車位,6998,3506KP
誠售●仁愛傳家高樓名邸靜園,台北市中正區仁愛路二段,45.0年,大樓,56.21,49.47,3房2廳2衛1室,10樓/12樓,無車位,6500,9881TS
明耀三普邊間二樓忠孝名家,台北市大安區仁愛路四段,36.2年,大樓/辦公,52.13,40.83,4房2廳2衛,2樓/11樓,無車位,6776,0827GU
小傳家方正美妝,台北市中山區新生北路三段,55.9年,公寓,19.66,17.99,3房2廳1衛(含加蓋1房),4樓/4樓,無車位,1620,9782DL
璽苑開闊中庭非你莫屬大同璽苑,台北市南港區經貿二路,11.6年,大樓,115.98,60.94,3房2廳2衛,7樓/21樓,兩個以上車位,12000,7836YK
樹山丘優美兩房車位樹山丘,台北市北投區稻香路,4.1年,華廈,37.77,16.27,2房2廳1衛,4樓/5樓,坡道平面車位,2188,6986WX
力霸南京２期＋三車位力霸南京II,台北市文山區羅斯福路六段,29.5年,華廈,80.47,32.98,3房2廳2衛,3樓/10樓,兩個以上車位,4720,0458YY
